process_count,arrival_window,service_capacity,distribution,model,arrival_rate,service_rate,servers,utilization,stable,avg_queue_length,avg_system_length,avg_waiting_time,avg_response_time,probability_wait
100,50,5,poisson,M/M/1,2.0,5,1,0.4,True,0.2666666666666667,0.6666666666666667,0.13333333333333333,0.3333333333333333,0.4
100,50,10,poisson,M/M/1,2.0,10,1,0.2,True,0.05000000000000001,0.25,0.025,0.125,0.2
100,50,20,poisson,M/M/1,2.0,20,1,0.1,True,0.011111111111111113,0.11111111111111112,0.005555555555555556,0.05555555555555555,0.1
100,100,5,poisson,M/M/1,1.0,5,1,0.2,True,0.05000000000000001,0.25,0.05,0.25,0.2
100,100,10,poisson,M/M/1,1.0,10,1,0.1,True,0.011111111111111113,0.11111111111111112,0.011111111111111112,0.1111111111111111,0.1
100,100,20,poisson,M/M/1,1.0,20,1,0.05,True,0.002631578947368422,0.052631578947368425,0.002631578947368421,0.05263157894736842,0.05
100,200,5,poisson,M/M/1,0.5,5,1,0.1,True,0.011111111111111113,0.11111111111111112,0.022222222222222223,0.2222222222222222,0.1
100,200,10,poisson,M/M/1,0.5,10,1,0.05,True,0.002631578947368422,0.052631578947368425,0.005263157894736842,0.10526315789473684,0.05
100,200,20,poisson,M/M/1,0.5,20,1,0.025,True,0.0006410256410256411,0.025641025641025644,0.001282051282051282,0.05128205128205128,0.025
500,50,20,poisson,M/M/1,10.0,20,1,0.5,True,0.5,1.0,0.05,0.1,0.5
500,100,10,poisson,M/M/1,5.0,10,1,0.5,True,0.5,1.0,0.1,0.2,0.5
500,100,20,poisson,M/M/1,5.0,20,1,0.25,True,0.08333333333333333,0.3333333333333333,0.016666666666666666,0.06666666666666667,0.25
500,200,5,poisson,M/M/1,2.5,5,1,0.5,True,0.5,1.0,0.2,0.4,0.5
500,200,10,poisson,M/M/1,2.5,10,1,0.25,True,0.08333333333333333,0.3333333333333333,0.03333333333333333,0.13333333333333333,0.25
500,200,20,poisson,M/M/1,2.5,20,1,0.125,True,0.017857142857142856,0.14285714285714285,0.007142857142857143,0.05714285714285714,0.125
1000,100,20,poisson,M/M/1,10.0,20,1,0.5,True,0.5,1.0,0.05,0.1,0.5
1000,200,10,poisson,M/M/1,5.0,10,1,0.5,True,0.5,1.0,0.1,0.2,0.5
1000,200,20,poisson,M/M/1,5.0,20,1,0.25,True,0.08333333333333333,0.3333333333333333,0.016666666666666666,0.06666666666666667,0.25
